sistema,ano,n,regioes,estatistica,graus_liberdade,p_valor,p_bonferroni_entre_anos
SIH,2010,92,9,33.84002503651874,8,4.342936807981255e-5,6.948698892770008e-4
SIH,2011,92,9,30.492428251194042,8,1.7292878756299283e-4,0.0027668606010078853
SIH,2012,92,9,31.301747333234005,8,1.241457600883751e-4,0.0019863321614140015
SIH,2013,92,9,34.659328757575565,8,3.084147472027757e-5,4.934635955244411e-4
SIH,2014,92,9,28.95114128508237,8,3.234194119954138e-4,0.0051747105919266205
SIH,2015,92,9,30.933844338612914,8,1.4436367425194006e-4,0.002309818788031041
SIH,2016,92,9,27.695990303914527,8,5.356436217020095e-4,0.008570297947232151
SIH,2017,92,9,30.414761870512223,8,1.785003966398592e-4,0.002856006346237747
SIH,2018,92,9,27.09350977057852,8,6.81174184413612e-4,0.010898786950617792
SIH,2019,92,9,32.80153575581346,8,6.687072148581521e-5,0.0010699315437730434
SIH,2020,92,9,29.247420056957253,8,2.8690266134754635e-4,0.0045904425815607415
SIH,2021,92,9,19.28016960443324,8,0.013431015345267576,0.21489624552428122
SIH,2022,92,9,20.20266154291403,8,0.00959591397498924,0.15353462359982784
SIH,2023,92,9,19.24745841660291,8,0.013590812847680678,0.21745300556289085
SIH,2024,92,9,27.131706987106725,8,6.708975672771334e-4,0.010734361076434135
SIH,2025,92,9,27.957785381207543,8,4.8234227599303867e-4,0.007717476415888619
SIM,2010,92,9,10.776356244659155,8,0.21469598720880523,1
SIM,2011,92,9,23.118940845658926,8,0.0032148496016915122,0.04822274402537268
SIM,2012,92,9,23.152978352487423,8,0.003173292808776068,0.04759939213164102
SIM,2013,92,9,22.9666046747393,8,0.0034073876382166553,0.05111081457324983
SIM,2014,92,9,24.990008596670577,8,0.0015606296636805175,0.02340944495520776
SIM,2015,92,9,19.301952146342046,8,0.013325599483042162,0.19988399224563244
SIM,2016,92,9,7.317811205469013,8,0.5027633659663377,1
SIM,2017,92,9,22.162152986486774,8,0.004624171740794337,0.06936257611191506
SIM,2018,92,9,12.69311341611484,8,0.12285391501352076,1
SIM,2019,92,9,10.192194753975912,8,0.251794721557963,1
SIM,2020,92,9,11.631115152573841,8,0.16843695445073034,1
SIM,2021,92,9,7.358274980434885,8,0.4985162049978819,1
SIM,2022,92,9,16.55138051912246,8,0.035134703421097584,0.5270205513164637
SIM,2023,92,9,9.656628512519148,8,0.28995770251046693,1
SIM,2024,92,9,6.816129117882269,8,0.55659484530544,1
