serie,periodicidade,n,tau,p_valor,sen_slope,p_bh
SIH: internações,anual,16,0.76666659116745,4.184246063232422e-5,515.8333333333333,0.00016736984252929688
SIH: óbitos hospitalares,anual,16,0.7333332896232605,8.96453857421875e-5,84,2.3905436197916666e-4
SIH: mortalidade hospitalar (%),anual,16,-0.3333333134651184,0.07910922169685364,-0.08706193660917672,0.09041053908211844
SIH: permanência média,anual,16,-0.9333332777023315,5.807863203699526e-7,-0.5096794217147427,4.646290562959621e-6
SIH: custo médio nominal,anual,16,0.6666666269302368,3.7539005279541016e-4,39.88203177474193,6.006240844726563e-4
SIM: óbitos,anual,15,-0.12380951642990112,0.5526151657104492,-17.333333333333332,0.5526151657104492
SIH: taxa de internação,anual,16,0.6833332777023315,2.6547908782958984e-4,2.637858621000585,5.309581756591797e-4
SIM: taxa de mortalidade,anual,15,-0.37142854928970337,0.060038305819034576,-0.5315756753550408,0.08005107442537943
