ano,municipio,nome_municipio,populacao,fonte,metodo,obitos_causa_basica_cerebrovascular,taxa_100mil
2010,330110,Cantagalo,19830,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,15,75.642965204236
2010,330115,Cardoso Moreira,12600,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,14,111.11111111111111
2010,330120,Carmo,17434,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,20,114.71836641046231
2010,330130,Casimiro de Abreu,35347,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,16,45.26551051008572
2010,330140,Conceição de Macabu,21211,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,15,70.71802366696527
2010,330150,Cordeiro,20430,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,11,53.84238864415075
2010,330160,Duas Barras,10930,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,10,91.49130832570906
2010,330170,Duque de Caxias,855048,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,572,66.89682918385869
2010,330180,Engenheiro Paulo de Frontin,13237,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,9,67.99123668504949
2010,330185,Guapimirim,51483,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,23,44.674941242740324
2010,330187,Iguaba Grande,22851,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,17,74.39499365454466
2010,330190,Itaboraí,218008,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,123,56.419947891820485
2010,330200,Itaguaí,109091,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,63,57.749951875040104
2010,330205,Italva,14063,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,5,35.55429140297234
2010,330210,Itaocara,22899,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,23,100.44106729551508
2010,330220,Itaperuna,95841,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,66,68.86405609290387
2010,330225,Itatiaia,28783,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,17,59.062641142340965
2010,330227,Japeri,95492,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,40,41.88832572362083
2010,330230,Laje do Muriaé,7487,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,5,66.78242286630159
2010,330240,Macaé,206728,"IBGE/SIDRA tabela 202, variável 93",censo_demografico_2010,78,37.730737974536595
