ano,nome_municipio,n
2010,Barra Mansa,311
2011,Barra Mansa,320
2012,Barra Mansa,250
2013,Barra Mansa,270
2014,Barra Mansa,252
2015,Barra Mansa,228
2016,Barra Mansa,205
2017,Barra Mansa,270
2018,Barra Mansa,284
2019,Barra Mansa,355
2020,Barra Mansa,299
2021,Barra Mansa,354
2022,Barra Mansa,477
2023,Barra Mansa,398
2024,Barra Mansa,444
2025,Barra Mansa,623
2010,Belford Roxo,256
2011,Belford Roxo,138
2012,Belford Roxo,171
2013,Belford Roxo,240
2014,Belford Roxo,298
2015,Belford Roxo,317
2016,Belford Roxo,421
2017,Belford Roxo,410
2018,Belford Roxo,489
2019,Belford Roxo,509
2020,Belford Roxo,456
2021,Belford Roxo,459
2022,Belford Roxo,583
2023,Belford Roxo,602
2024,Belford Roxo,447
2025,Belford Roxo,519
2010,Bom Jardim,66
2011,Bom Jardim,50
2012,Bom Jardim,51
2013,Bom Jardim,66
2014,Bom Jardim,55
2015,Bom Jardim,77
2016,Bom Jardim,56
2017,Bom Jardim,73
2018,Bom Jardim,73
2019,Bom Jardim,64
2020,Bom Jardim,63
2021,Bom Jardim,57
2022,Bom Jardim,74
2023,Bom Jardim,76
2024,Bom Jardim,57
2025,Bom Jardim,86
2010,Bom Jesus do Itabapoana,90
2011,Bom Jesus do Itabapoana,119
2012,Bom Jesus do Itabapoana,101
2013,Bom Jesus do Itabapoana,91
2014,Bom Jesus do Itabapoana,117
2015,Bom Jesus do Itabapoana,96
2016,Bom Jesus do Itabapoana,141
2017,Bom Jesus do Itabapoana,128
2018,Bom Jesus do Itabapoana,121
2019,Bom Jesus do Itabapoana,145
2020,Bom Jesus do Itabapoana,80
2021,Bom Jesus do Itabapoana,67
2022,Bom Jesus do Itabapoana,83
2023,Bom Jesus do Itabapoana,75
2024,Bom Jesus do Itabapoana,110
2025,Bom Jesus do Itabapoana,81
2010,Cabo Frio,56
2011,Cabo Frio,43
2012,Cabo Frio,48
2013,Cabo Frio,37
2014,Cabo Frio,79
2015,Cabo Frio,68
2016,Cabo Frio,67
2017,Cabo Frio,128
2018,Cabo Frio,144
2019,Cabo Frio,130
2020,Cabo Frio,146
2021,Cabo Frio,118
2022,Cabo Frio,189
2023,Cabo Frio,254
2024,Cabo Frio,268
2025,Cabo Frio,210
2010,Cachoeiras de Macacu,65
2011,Cachoeiras de Macacu,38
2012,Cachoeiras de Macacu,29
2013,Cachoeiras de Macacu,18
2014,Cachoeiras de Macacu,6
2015,Cachoeiras de Macacu,8
2016,Cachoeiras de Macacu,8
2017,Cachoeiras de Macacu,109
2018,Cachoeiras de Macacu,51
2019,Cachoeiras de Macacu,84
2020,Cachoeiras de Macacu,52
2021,Cachoeiras de Macacu,121
2022,Cachoeiras de Macacu,155
2023,Cachoeiras de Macacu,156
2024,Cachoeiras de Macacu,183
2025,Cachoeiras de Macacu,161
2010,Cambuci,20
2011,Cambuci,23
2012,Cambuci,40
2013,Cambuci,26
2014,Cambuci,22
2015,Cambuci,42
2016,Cambuci,34
2017,Cambuci,15
2018,Cambuci,20
2019,Cambuci,55
2020,Cambuci,26
2021,Cambuci,32
2022,Cambuci,17
2023,Cambuci,7
2024,Cambuci,9
2025,Cambuci,13
2010,Campos dos Goytacazes,366
2011,Campos dos Goytacazes,394
2012,Campos dos Goytacazes,405
2013,Campos dos Goytacazes,390
2014,Campos dos Goytacazes,348
2015,Campos dos Goytacazes,387
2016,Campos dos Goytacazes,499
2017,Campos dos Goytacazes,529
2018,Campos dos Goytacazes,497
2019,Campos dos Goytacazes,562
2020,Campos dos Goytacazes,486
2021,Campos dos Goytacazes,477
2022,Campos dos Goytacazes,847
2023,Campos dos Goytacazes,1232
2024,Campos dos Goytacazes,1228
2025,Campos dos Goytacazes,1155
2010,Cantagalo,10
2011,Cantagalo,6
2012,Cantagalo,1
2013,Cantagalo,3
2014,Cantagalo,4
2015,Cantagalo,4
2016,Cantagalo,41
2017,Cantagalo,40
2018,Cantagalo,25
2019,Cantagalo,36
2020,Cantagalo,33
2021,Cantagalo,23
2022,Cantagalo,36
2023,Cantagalo,47
2024,Cantagalo,37
2025,Cantagalo,19
2010,Carapebus,3
2011,Carapebus,1
2012,Carapebus,11
2013,Carapebus,1
2014,Carapebus,4
2015,Carapebus,1
2016,Carapebus,2
2017,Carapebus,2
2018,Carapebus,6
2019,Carapebus,3
2020,Carapebus,3
2022,Carapebus,9
2023,Carapebus,3
2024,Carapebus,3
2025,Carapebus,4
2010,Cardoso Moreira,9
2011,Cardoso Moreira,20
2012,Cardoso Moreira,9
2013,Cardoso Moreira,11
2014,Cardoso Moreira,7
2015,Cardoso Moreira,5
2016,Cardoso Moreira,5
2017,Cardoso Moreira,5
2018,Cardoso Moreira,9
2019,Cardoso Moreira,14
2020,Cardoso Moreira,11
2021,Cardoso Moreira,15
2022,Cardoso Moreira,15
2023,Cardoso Moreira,15
2024,Cardoso Moreira,13
2025,Cardoso Moreira,19
2010,Carmo,27
2011,Carmo,28
2012,Carmo,27
2013,Carmo,36
2014,Carmo,38
2015,Carmo,20
2016,Carmo,2
2017,Carmo,11
2018,Carmo,5
2019,Carmo,8
2020,Carmo,6
2021,Carmo,10
2022,Carmo,47
2023,Carmo,32
2024,Carmo,41
2025,Carmo,33
2010,Casimiro de Abreu,6
2011,Casimiro de Abreu,16
2012,Casimiro de Abreu,21
2013,Casimiro de Abreu,25
2014,Casimiro de Abreu,18
2015,Casimiro de Abreu,31
2016,Casimiro de Abreu,32
2017,Casimiro de Abreu,20
2018,Casimiro de Abreu,15
2019,Casimiro de Abreu,19
2020,Casimiro de Abreu,29
2021,Casimiro de Abreu,63
2022,Casimiro de Abreu,62
2023,Casimiro de Abreu,70
2024,Casimiro de Abreu,80
2025,Casimiro de Abreu,107
2010,Comendador Levy Gasparian,7
2011,Comendador Levy Gasparian,11
2012,Comendador Levy Gasparian,10
2013,Comendador Levy Gasparian,5
2014,Comendador Levy Gasparian,5
2015,Comendador Levy Gasparian,13
2016,Comendador Levy Gasparian,10
2017,Comendador Levy Gasparian,9
2018,Comendador Levy Gasparian,15
2019,Comendador Levy Gasparian,11
2020,Comendador Levy Gasparian,7
2021,Comendador Levy Gasparian,14
2022,Comendador Levy Gasparian,9
2023,Comendador Levy Gasparian,18
2024,Comendador Levy Gasparian,18
2025,Comendador Levy Gasparian,23
2010,Conceição de Macabu,9
2011,Conceição de Macabu,11
2012,Conceição de Macabu,14
2013,Conceição de Macabu,12
2014,Conceição de Macabu,24
2015,Conceição de Macabu,15
2016,Conceição de Macabu,29
2017,Conceição de Macabu,39
2018,Conceição de Macabu,19
2019,Conceição de Macabu,16
2020,Conceição de Macabu,17
2021,Conceição de Macabu,21
2022,Conceição de Macabu,17
2023,Conceição de Macabu,31
2024,Conceição de Macabu,35
2025,Conceição de Macabu,17
2010,Cordeiro,28
2011,Cordeiro,41
2012,Cordeiro,49
2013,Cordeiro,58
2014,Cordeiro,35
2015,Cordeiro,42
2016,Cordeiro,53
2017,Cordeiro,38
2018,Cordeiro,30
2019,Cordeiro,26
2020,Cordeiro,39
2021,Cordeiro,27
2022,Cordeiro,32
2023,Cordeiro,43
2024,Cordeiro,25
2025,Cordeiro,45
2010,Duas Barras,24
2011,Duas Barras,20
2012,Duas Barras,21
2013,Duas Barras,19
2014,Duas Barras,26
2015,Duas Barras,14
2016,Duas Barras,15
2017,Duas Barras,10
2018,Duas Barras,7
2019,Duas Barras,7
2020,Duas Barras,15
2021,Duas Barras,5
2022,Duas Barras,7
2023,Duas Barras,6
2024,Duas Barras,5
2025,Duas Barras,10
2010,Duque de Caxias,681
2011,Duque de Caxias,615
2012,Duque de Caxias,745
2013,Duque de Caxias,850
2014,Duque de Caxias,1098
2015,Duque de Caxias,891
2016,Duque de Caxias,1077
2017,Duque de Caxias,1239
2018,Duque de Caxias,1308
2019,Duque de Caxias,1290
2020,Duque de Caxias,975
2021,Duque de Caxias,1124
2022,Duque de Caxias,1258
2023,Duque de Caxias,1339
2024,Duque de Caxias,972
2025,Duque de Caxias,1197
2010,Engenheiro Paulo de Frontin,8
2011,Engenheiro Paulo de Frontin,3
2012,Engenheiro Paulo de Frontin,4
2013,Engenheiro Paulo de Frontin,16
2014,Engenheiro Paulo de Frontin,29
2015,Engenheiro Paulo de Frontin,26
2016,Engenheiro Paulo de Frontin,32
2017,Engenheiro Paulo de Frontin,36
2018,Engenheiro Paulo de Frontin,36
2019,Engenheiro Paulo de Frontin,30
2020,Engenheiro Paulo de Frontin,23
2021,Engenheiro Paulo de Frontin,22
2022,Engenheiro Paulo de Frontin,34
2023,Engenheiro Paulo de Frontin,39
2024,Engenheiro Paulo de Frontin,38
2025,Engenheiro Paulo de Frontin,32
2010,Guapimirim,78
2011,Guapimirim,58
2012,Guapimirim,71
2013,Guapimirim,71
2014,Guapimirim,78
2015,Guapimirim,55
2016,Guapimirim,51
2017,Guapimirim,68
2018,Guapimirim,71
2019,Guapimirim,59
2020,Guapimirim,90
2021,Guapimirim,84
2022,Guapimirim,112
2023,Guapimirim,134
2024,Guapimirim,151
2025,Guapimirim,121
2010,Iguaba Grande,10
2011,Iguaba Grande,12
2012,Iguaba Grande,10
2013,Iguaba Grande,12
2014,Iguaba Grande,4
2015,Iguaba Grande,6
2016,Iguaba Grande,7
2017,Iguaba Grande,11
2018,Iguaba Grande,5
2019,Iguaba Grande,6
2020,Iguaba Grande,2
2021,Iguaba Grande,9
2022,Iguaba Grande,9
2023,Iguaba Grande,8
2024,Iguaba Grande,10
2025,Iguaba Grande,17
2010,Itaboraí,204
2011,Itaboraí,183
2012,Itaboraí,288
2013,Itaboraí,257
2014,Itaboraí,278
2015,Itaboraí,288
2016,Itaboraí,243
2017,Itaboraí,269
2018,Itaboraí,303
2019,Itaboraí,225
2020,Itaboraí,240
2021,Itaboraí,299
2022,Itaboraí,375
2023,Itaboraí,430
2024,Itaboraí,319
2025,Itaboraí,583
2010,Itaguaí,122
2011,Itaguaí,87
2012,Itaguaí,92
2013,Itaguaí,100
2014,Itaguaí,72
2015,Itaguaí,69
2016,Itaguaí,131
2017,Itaguaí,96
2018,Itaguaí,134
2019,Itaguaí,132
2020,Itaguaí,123
2021,Itaguaí,100
2022,Itaguaí,161
2023,Itaguaí,227
2024,Itaguaí,173
2025,Itaguaí,173
2010,Italva,32
2011,Italva,17
2012,Italva,20
2013,Italva,6
2014,Italva,9
2015,Italva,19
2016,Italva,11
2017,Italva,15
2018,Italva,12
2019,Italva,14
2020,Italva,8
2021,Italva,11
2022,Italva,17
2023,Italva,11
2024,Italva,7
2025,Italva,18
2010,Itaocara,51
2011,Itaocara,69
2012,Itaocara,59
2013,Itaocara,70
2014,Itaocara,81
2015,Itaocara,53
2016,Itaocara,73
2017,Itaocara,52
2018,Itaocara,65
2019,Itaocara,42
2020,Itaocara,42
2021,Itaocara,48
2022,Itaocara,55
2023,Itaocara,67
2024,Itaocara,51
2025,Itaocara,52
2010,Itaperuna,227
2011,Itaperuna,186
2012,Itaperuna,184
2013,Itaperuna,144
2014,Itaperuna,164
2015,Itaperuna,118
2016,Itaperuna,132
2017,Itaperuna,144
2018,Itaperuna,176
2019,Itaperuna,180
2020,Itaperuna,239
2021,Itaperuna,237
2022,Itaperuna,219
2023,Itaperuna,208
2024,Itaperuna,217
2025,Itaperuna,237
2010,Itatiaia,21
2011,Itatiaia,34
2012,Itatiaia,42
2013,Itatiaia,39
2014,Itatiaia,31
2015,Itatiaia,13
2016,Itatiaia,27
2017,Itatiaia,25
2018,Itatiaia,22
2019,Itatiaia,25
2020,Itatiaia,42
2021,Itatiaia,44
2022,Itatiaia,39
2023,Itatiaia,77
2024,Itatiaia,66
2025,Itatiaia,58
2010,Japeri,18
2011,Japeri,21
2012,Japeri,11
2013,Japeri,25
2014,Japeri,33
2015,Japeri,49
2016,Japeri,74
2017,Japeri,64
2018,Japeri,77
2019,Japeri,66
2020,Japeri,56
2021,Japeri,69
2022,Japeri,111
2023,Japeri,125
2024,Japeri,147
2025,Japeri,149
2010,Laje do Muriaé,11
2011,Laje do Muriaé,12
2012,Laje do Muriaé,10
2013,Laje do Muriaé,8
2014,Laje do Muriaé,8
2015,Laje do Muriaé,10
2016,Laje do Muriaé,7
2017,Laje do Muriaé,9
2018,Laje do Muriaé,13
2019,Laje do Muriaé,16
2020,Laje do Muriaé,11
2021,Laje do Muriaé,12
2022,Laje do Muriaé,17
2023,Laje do Muriaé,12
2024,Laje do Muriaé,5
2025,Laje do Muriaé,16
2010,Macaé,130
2011,Macaé,115
2012,Macaé,107
2013,Macaé,183
2014,Macaé,162
2015,Macaé,109
2016,Macaé,120
2017,Macaé,138
2018,Macaé,157
2019,Macaé,140
2020,Macaé,111
2021,Macaé,136
2022,Macaé,215
2023,Macaé,209
2024,Macaé,232
2025,Macaé,215
2010,Macuco,9
2013,Macuco,3
2014,Macuco,1
2016,Macuco,6
2017,Macuco,11
2018,Macuco,11
2019,Macuco,14
2020,Macuco,14
2021,Macuco,18
2022,Macuco,11
2023,Macuco,18
2024,Macuco,31
2025,Macuco,9
2010,Magé,343
2011,Magé,245
2012,Magé,241
2013,Magé,235
2014,Magé,271
2015,Magé,247
2016,Magé,283
2017,Magé,303
2018,Magé,308
2019,Magé,320
2020,Magé,241
2021,Magé,243
2022,Magé,222
2023,Magé,252
2024,Magé,252
2025,Magé,271
2010,Mangaratiba,83
2011,Mangaratiba,76
2012,Mangaratiba,65
2013,Mangaratiba,75
2014,Mangaratiba,69
2015,Mangaratiba,52
2016,Mangaratiba,61
2017,Mangaratiba,52
2018,Mangaratiba,50
2019,Mangaratiba,63
2020,Mangaratiba,59
2021,Mangaratiba,67
2022,Mangaratiba,62
2023,Mangaratiba,54
2024,Mangaratiba,48
2025,Mangaratiba,55
2010,Maricá,104
2011,Maricá,117
2012,Maricá,151
2013,Maricá,148
2014,Maricá,126
2015,Maricá,140
2016,Maricá,174
2017,Maricá,179
2018,Maricá,218
2019,Maricá,212
2020,Maricá,205
2021,Maricá,313
2022,Maricá,385
2023,Maricá,332
2024,Maricá,382
2025,Maricá,438
2010,Mendes,43
2011,Mendes,49
2012,Mendes,42
2013,Mendes,60
2014,Mendes,55
2015,Mendes,43
2016,Mendes,72
2017,Mendes,60
2018,Mendes,53
2019,Mendes,63
2020,Mendes,24
2021,Mendes,34
2022,Mendes,38
2023,Mendes,61
2024,Mendes,72
2025,Mendes,68
2010,Mesquita,17
2011,Mesquita,27
2012,Mesquita,22
2013,Mesquita,22
2014,Mesquita,32
2015,Mesquita,53
2016,Mesquita,51
2017,Mesquita,104
2018,Mesquita,103
2019,Mesquita,95
2020,Mesquita,94
2021,Mesquita,103
2022,Mesquita,151
2023,Mesquita,183
2024,Mesquita,193
2025,Mesquita,169
2010,Miguel Pereira,62
2011,Miguel Pereira,91
2012,Miguel Pereira,55
2013,Miguel Pereira,57
2014,Miguel Pereira,62
2015,Miguel Pereira,42
2016,Miguel Pereira,76
2017,Miguel Pereira,86
2018,Miguel Pereira,99
2019,Miguel Pereira,116
2020,Miguel Pereira,121
2021,Miguel Pereira,144
2022,Miguel Pereira,76
2023,Miguel Pereira,110
2024,Miguel Pereira,84
2025,Miguel Pereira,82
2010,Miracema,72
2011,Miracema,65
2012,Miracema,80
2013,Miracema,83
2014,Miracema,85
2015,Miracema,62
2016,Miracema,60
2017,Miracema,67
2018,Miracema,58
2019,Miracema,45
2020,Miracema,59
2021,Miracema,69
2022,Miracema,44
2023,Miracema,61
2024,Miracema,55
2025,Miracema,51
2010,Natividade,23
2011,Natividade,34
2012,Natividade,35
2013,Natividade,23
2014,Natividade,23
2015,Natividade,25
2016,Natividade,16
2017,Natividade,28
2018,Natividade,41
2019,Natividade,34
2020,Natividade,24
2021,Natividade,27
2022,Natividade,22
2023,Natividade,22
2024,Natividade,26
2025,Natividade,29
2010,Nilópolis,211
2011,Nilópolis,136
2012,Nilópolis,64
2013,Nilópolis,76
2014,Nilópolis,85
2015,Nilópolis,119
2016,Nilópolis,102
2017,Nilópolis,107
2018,Nilópolis,135
2019,Nilópolis,126
2020,Nilópolis,112
2021,Nilópolis,126
2022,Nilópolis,110
2023,Nilópolis,149
2024,Nilópolis,126
2025,Nilópolis,154
2010,Niterói,194
2011,Niterói,208
2012,Niterói,246
2013,Niterói,268
2014,Niterói,251
2015,Niterói,309
2016,Niterói,380
2017,Niterói,440
2018,Niterói,503
2019,Niterói,465
2020,Niterói,484
2021,Niterói,482
2022,Niterói,517
2023,Niterói,564
2024,Niterói,605
2025,Niterói,751
2010,Nova Friburgo,232
2011,Nova Friburgo,237
2012,Nova Friburgo,235
2013,Nova Friburgo,181
2014,Nova Friburgo,152
2015,Nova Friburgo,177
2016,Nova Friburgo,119
2017,Nova Friburgo,144
2018,Nova Friburgo,158
2019,Nova Friburgo,141
2020,Nova Friburgo,132
2021,Nova Friburgo,134
2022,Nova Friburgo,156
2023,Nova Friburgo,179
2024,Nova Friburgo,221
2025,Nova Friburgo,336
2010,Nova Iguaçu,526
2011,Nova Iguaçu,567
2012,Nova Iguaçu,429
2013,Nova Iguaçu,487
2014,Nova Iguaçu,859
2015,Nova Iguaçu,915
2016,Nova Iguaçu,1110
2017,Nova Iguaçu,944
2018,Nova Iguaçu,1087
2019,Nova Iguaçu,866
2020,Nova Iguaçu,773
2021,Nova Iguaçu,895
2022,Nova Iguaçu,1186
2023,Nova Iguaçu,1155
2024,Nova Iguaçu,1009
2025,Nova Iguaçu,1047
2010,Paracambi,137
2011,Paracambi,88
2012,Paracambi,103
2013,Paracambi,80
2014,Paracambi,107
2015,Paracambi,92
2016,Paracambi,119
2017,Paracambi,93
2018,Paracambi,87
2019,Paracambi,91
2020,Paracambi,80
2021,Paracambi,88
2022,Paracambi,94
2023,Paracambi,81
2024,Paracambi,87
2025,Paracambi,103
2010,Paraíba do Sul,83
2011,Paraíba do Sul,85
2012,Paraíba do Sul,89
2013,Paraíba do Sul,72
2014,Paraíba do Sul,47
2015,Paraíba do Sul,55
2016,Paraíba do Sul,83
2017,Paraíba do Sul,91
2018,Paraíba do Sul,119
2019,Paraíba do Sul,127
2020,Paraíba do Sul,79
2021,Paraíba do Sul,104
2022,Paraíba do Sul,119
2023,Paraíba do Sul,126
2024,Paraíba do Sul,115
2025,Paraíba do Sul,97
2010,Paraty,32
2011,Paraty,41
2012,Paraty,35
2013,Paraty,17
2014,Paraty,51
2015,Paraty,37
2016,Paraty,43
2017,Paraty,56
2018,Paraty,43
2019,Paraty,29
2020,Paraty,44
2021,Paraty,41
2022,Paraty,60
2023,Paraty,59
2024,Paraty,79
2025,Paraty,88
2010,Paty do Alferes,64
2011,Paty do Alferes,73
2012,Paty do Alferes,68
2013,Paty do Alferes,61
2014,Paty do Alferes,66
2015,Paty do Alferes,60
2016,Paty do Alferes,75
2017,Paty do Alferes,69
2018,Paty do Alferes,112
2019,Paty do Alferes,101
2020,Paty do Alferes,96
2021,Paty do Alferes,102
2022,Paty do Alferes,72
2023,Paty do Alferes,86
2024,Paty do Alferes,92
2025,Paty do Alferes,63
2010,Petrópolis,1715
2011,Petrópolis,1691
2012,Petrópolis,1529
2013,Petrópolis,1179
2014,Petrópolis,1202
2015,Petrópolis,1238
2016,Petrópolis,1202
2017,Petrópolis,1256
2018,Petrópolis,1209
2019,Petrópolis,1096
2020,Petrópolis,1019
2021,Petrópolis,839
2022,Petrópolis,937
2023,Petrópolis,788
2024,Petrópolis,767
2025,Petrópolis,620
2010,Pinheiral,21
2011,Pinheiral,32
2012,Pinheiral,24
2013,Pinheiral,28
2014,Pinheiral,8
2015,Pinheiral,7
2016,Pinheiral,39
2017,Pinheiral,36
2018,Pinheiral,38
2019,Pinheiral,41
2020,Pinheiral,31
2021,Pinheiral,51
2022,Pinheiral,42
2023,Pinheiral,38
2024,Pinheiral,43
2025,Pinheiral,67
2010,Piraí,44
2011,Piraí,46
2012,Piraí,57
2013,Piraí,51
2014,Piraí,42
2015,Piraí,43
2016,Piraí,37
2017,Piraí,58
2018,Piraí,61
2019,Piraí,76
2020,Piraí,59
2021,Piraí,58
2022,Piraí,58
2023,Piraí,62
2024,Piraí,81
2025,Piraí,62
2010,Porciúncula,20
2011,Porciúncula,19
2012,Porciúncula,30
2013,Porciúncula,33
2014,Porciúncula,26
2015,Porciúncula,21
2016,Porciúncula,13
2017,Porciúncula,17
2018,Porciúncula,13
2019,Porciúncula,13
2020,Porciúncula,16
2021,Porciúncula,16
2022,Porciúncula,9
2023,Porciúncula,12
2024,Porciúncula,16
2025,Porciúncula,23
2010,Porto Real,10
2011,Porto Real,29
2012,Porto Real,23
2013,Porto Real,32
2014,Porto Real,32
2015,Porto Real,12
2016,Porto Real,15
2017,Porto Real,24
2018,Porto Real,14
2019,Porto Real,18
2020,Porto Real,24
2021,Porto Real,25
2022,Porto Real,28
2023,Porto Real,35
2024,Porto Real,26
2025,Porto Real,46
2010,Quatis,9
2011,Quatis,33
2012,Quatis,28
2013,Quatis,21
2014,Quatis,21
2015,Quatis,36
2016,Quatis,21
2017,Quatis,14
2018,Quatis,34
2019,Quatis,37
2020,Quatis,32
2021,Quatis,20
2022,Quatis,39
2023,Quatis,27
2024,Quatis,36
2025,Quatis,21
2010,Queimados,20
2011,Queimados,25
2012,Queimados,53
2013,Queimados,34
2014,Queimados,50
2015,Queimados,73
2016,Queimados,113
2017,Queimados,116
2018,Queimados,124
2019,Queimados,87
2020,Queimados,102
2021,Queimados,129
2022,Queimados,120
2023,Queimados,160
2024,Queimados,145
2025,Queimados,159
2010,Quissamã,50
2011,Quissamã,57
2012,Quissamã,41
2013,Quissamã,20
2014,Quissamã,22
2015,Quissamã,29
2016,Quissamã,30
2017,Quissamã,26
2018,Quissamã,39
2019,Quissamã,29
2020,Quissamã,37
2021,Quissamã,43
2022,Quissamã,50
2023,Quissamã,40
2024,Quissamã,54
2025,Quissamã,50
2010,Resende,148
2011,Resende,157
2012,Resende,149
2013,Resende,176
2014,Resende,165
2015,Resende,128
2016,Resende,121
2017,Resende,159
2018,Resende,174
2019,Resende,134
2020,Resende,195
2021,Resende,226
2022,Resende,259
2023,Resende,295
2024,Resende,301
2025,Resende,285
2010,Rio Bonito,103
2011,Rio Bonito,112
2012,Rio Bonito,76
2013,Rio Bonito,108
2014,Rio Bonito,73
2015,Rio Bonito,85
2016,Rio Bonito,88
2017,Rio Bonito,96
2018,Rio Bonito,134
2019,Rio Bonito,103
2020,Rio Bonito,104
2021,Rio Bonito,120
2022,Rio Bonito,148
2023,Rio Bonito,147
2024,Rio Bonito,168
2025,Rio Bonito,201
2010,Rio Claro,15
2011,Rio Claro,17
2012,Rio Claro,11
2013,Rio Claro,27
2014,Rio Claro,19
2015,Rio Claro,29
2016,Rio Claro,18
2017,Rio Claro,18
2018,Rio Claro,26
2019,Rio Claro,27
2020,Rio Claro,27
2021,Rio Claro,17
2022,Rio Claro,29
2023,Rio Claro,34
2024,Rio Claro,49
2025,Rio Claro,51
2010,Rio das Flores,13
2011,Rio das Flores,16
2012,Rio das Flores,10
2013,Rio das Flores,13
2014,Rio das Flores,13
2015,Rio das Flores,3
2016,Rio das Flores,18
2017,Rio das Flores,15
2018,Rio das Flores,20
2019,Rio das Flores,19
2020,Rio das Flores,18
2021,Rio das Flores,15
2022,Rio das Flores,28
2023,Rio das Flores,20
2024,Rio das Flores,38
2025,Rio das Flores,34
2010,Rio das Ostras,59
2011,Rio das Ostras,87
2012,Rio das Ostras,107
2013,Rio das Ostras,83
2014,Rio das Ostras,72
2015,Rio das Ostras,68
2016,Rio das Ostras,99
2017,Rio das Ostras,89
2018,Rio das Ostras,112
2019,Rio das Ostras,87
2020,Rio das Ostras,62
2021,Rio das Ostras,44
2022,Rio das Ostras,54
2023,Rio das Ostras,121
2024,Rio das Ostras,82
2025,Rio das Ostras,44
2010,Rio de Janeiro,5142
2011,Rio de Janeiro,5132
2012,Rio de Janeiro,5124
2013,Rio de Janeiro,5246
2014,Rio de Janeiro,5059
2015,Rio de Janeiro,5635
2016,Rio de Janeiro,4573
2017,Rio de Janeiro,4599
2018,Rio de Janeiro,5140
2019,Rio de Janeiro,5281
2020,Rio de Janeiro,5203
2021,Rio de Janeiro,5307
2022,Rio de Janeiro,5491
2023,Rio de Janeiro,5901
2024,Rio de Janeiro,5063
2025,Rio de Janeiro,4864
2010,Santa Maria Madalena,25
2011,Santa Maria Madalena,24
2012,Santa Maria Madalena,25
2013,Santa Maria Madalena,31
2014,Santa Maria Madalena,32
2015,Santa Maria Madalena,10
2016,Santa Maria Madalena,24
2017,Santa Maria Madalena,10
2018,Santa Maria Madalena,12
2019,Santa Maria Madalena,16
2020,Santa Maria Madalena,17
2021,Santa Maria Madalena,15
2022,Santa Maria Madalena,27
2023,Santa Maria Madalena,23
2024,Santa Maria Madalena,15
2025,Santa Maria Madalena,27
2010,Santo Antônio de Pádua,131
2011,Santo Antônio de Pádua,125
2012,Santo Antônio de Pádua,129
