ano,nome_municipio,n
2010,Angra dos Reis,78
2011,Angra dos Reis,77
2012,Angra dos Reis,117
2013,Angra dos Reis,119
2014,Angra dos Reis,120
2015,Angra dos Reis,65
2016,Angra dos Reis,116
2017,Angra dos Reis,120
2018,Angra dos Reis,176
2019,Angra dos Reis,286
2020,Angra dos Reis,233
2021,Angra dos Reis,220
2022,Angra dos Reis,357
2023,Angra dos Reis,358
2024,Angra dos Reis,340
2025,Angra dos Reis,389
2010,Aperibé,32
2011,Aperibé,37
2012,Aperibé,23
2013,Aperibé,37
2014,Aperibé,41
2015,Aperibé,33
2016,Aperibé,26
2017,Aperibé,18
2018,Aperibé,27
2019,Aperibé,32
2020,Aperibé,17
2021,Aperibé,31
2022,Aperibé,40
2023,Aperibé,55
2024,Aperibé,52
2025,Aperibé,48
2010,Araruama,91
2011,Araruama,114
2012,Araruama,85
2013,Araruama,55
2014,Araruama,49
2015,Araruama,44
2016,Araruama,41
2017,Araruama,34
2018,Araruama,43
2019,Araruama,62
2020,Araruama,38
2021,Araruama,58
2022,Araruama,39
2023,Araruama,37
2024,Araruama,70
2025,Araruama,83
2010,Areal,10
2011,Areal,11
2012,Areal,5
2013,Areal,12
2014,Areal,7
2015,Areal,8
2016,Areal,4
2017,Areal,11
2018,Areal,17
2019,Areal,15
2020,Areal,8
2021,Areal,13
2022,Areal,16
2023,Areal,5
2024,Areal,18
2025,Areal,27
2010,Armação dos Búzios,7
2011,Armação dos Búzios,21
2012,Armação dos Búzios,23
2013,Armação dos Búzios,19
2014,Armação dos Búzios,5
2015,Armação dos Búzios,12
2016,Armação dos Búzios,18
2017,Armação dos Búzios,37
2018,Armação dos Búzios,44
2019,Armação dos Búzios,51
2020,Armação dos Búzios,65
2021,Armação dos Búzios,76
2022,Armação dos Búzios,82
2023,Armação dos Búzios,100
2024,Armação dos Búzios,98
2025,Armação dos Búzios,118
2010,Arraial do Cabo,25
2011,Arraial do Cabo,43
2012,Arraial do Cabo,40
2013,Arraial do Cabo,35
2014,Arraial do Cabo,29
2015,Arraial do Cabo,27
2016,Arraial do Cabo,26
2017,Arraial do Cabo,16
2018,Arraial do Cabo,46
2019,Arraial do Cabo,33
2020,Arraial do Cabo,46
2021,Arraial do Cabo,74
2022,Arraial do Cabo,69
2023,Arraial do Cabo,101
2024,Arraial do Cabo,75
2025,Arraial do Cabo,75
2010,Barra do Piraí,70
2011,Barra do Piraí,67
2012,Barra do Piraí,214
2013,Barra do Piraí,305
2014,Barra do Piraí,328
2015,Barra do Piraí,406
2016,Barra do Piraí,499
2017,Barra do Piraí,525
2018,Barra do Piraí,544
2019,Barra do Piraí,632
2020,Barra do Piraí,573
2021,Barra do Piraí,485
2022,Barra do Piraí,544
2023,Barra do Piraí,636
2024,Barra do Piraí,452
2025,Barra do Piraí,380
