ano,mes,eventos,sistema,variacao_percentual,tempo
2010,1,1211,SIH_internacoes,,2010-01-01
2010,2,1355,SIH_internacoes,11.890999174236168,2010-02-01
2010,3,1406,SIH_internacoes,3.7638376383763834,2010-03-01
2010,4,1327,SIH_internacoes,-5.61877667140825,2010-04-01
2010,5,1306,SIH_internacoes,-1.5825169555388092,2010-05-01
2010,6,1193,SIH_internacoes,-8.652373660030628,2010-06-01
2010,7,1397,SIH_internacoes,17.099748533109807,2010-07-01
2010,8,1431,SIH_internacoes,2.4337866857551895,2010-08-01
2010,9,1353,SIH_internacoes,-5.450733752620545,2010-09-01
2010,10,1343,SIH_internacoes,-0.7390983000739099,2010-10-01
2010,11,1275,SIH_internacoes,-5.063291139240507,2010-11-01
2010,12,1283,SIH_internacoes,0.6274509803921569,2010-12-01
2011,1,1234,SIH_internacoes,-3.819173811379579,2011-01-01
2011,2,1197,SIH_internacoes,-2.99837925445705,2011-02-01
2011,3,1267,SIH_internacoes,5.847953216374268,2011-03-01
2011,4,1296,SIH_internacoes,2.2888713496448303,2011-04-01
2011,5,1316,SIH_internacoes,1.5432098765432098,2011-05-01
2011,6,1293,SIH_internacoes,-1.7477203647416413,2011-06-01
2011,7,1437,SIH_internacoes,11.1368909512761,2011-07-01
2011,8,1288,SIH_internacoes,-10.368823938761308,2011-08-01
2011,9,1348,SIH_internacoes,4.658385093167702,2011-09-01
2011,10,1305,SIH_internacoes,-3.1899109792284865,2011-10-01
2011,11,1361,SIH_internacoes,4.291187739463601,2011-11-01
2011,12,1253,SIH_internacoes,-7.935341660543719,2011-12-01
2012,1,1279,SIH_internacoes,2.0750199521149244,2012-01-01
2012,2,1276,SIH_internacoes,-0.23455824863174357,2012-02-01
2012,3,1258,SIH_internacoes,-1.4106583072100314,2012-03-01
2012,4,1270,SIH_internacoes,0.9538950715421303,2012-04-01
2012,5,1348,SIH_internacoes,6.141732283464567,2012-05-01
2012,6,1428,SIH_internacoes,5.934718100890208,2012-06-01
2012,7,1441,SIH_internacoes,0.9103641456582634,2012-07-01
2012,8,1430,SIH_internacoes,-0.7633587786259541,2012-08-01
2012,9,1393,SIH_internacoes,-2.5874125874125875,2012-09-01
2012,10,1325,SIH_internacoes,-4.881550610193827,2012-10-01
2012,11,1230,SIH_internacoes,-7.169811320754717,2012-11-01
2012,12,1116,SIH_internacoes,-9.268292682926829,2012-12-01
2013,1,1279,SIH_internacoes,14.605734767025089,2013-01-01
2013,2,1118,SIH_internacoes,-12.587959343236903,2013-02-01
2013,3,1246,SIH_internacoes,11.449016100178891,2013-03-01
2013,4,1228,SIH_internacoes,-1.4446227929373996,2013-04-01
2013,5,1249,SIH_internacoes,1.710097719869707,2013-05-01
2013,6,1272,SIH_internacoes,1.8414731785428344,2013-06-01
2013,7,1355,SIH_internacoes,6.5251572327044025,2013-07-01
2013,8,1395,SIH_internacoes,2.952029520295203,2013-08-01
2013,9,1327,SIH_internacoes,-4.874551971326166,2013-09-01
2013,10,1368,SIH_internacoes,3.089675960813866,2013-10-01
2013,11,1307,SIH_internacoes,-4.45906432748538,2013-11-01
2013,12,1197,SIH_internacoes,-8.416220351951033,2013-12-01
2014,1,1277,SIH_internacoes,6.683375104427736,2014-01-01
2014,2,1277,SIH_internacoes,0,2014-02-01
2014,3,1216,SIH_internacoes,-4.776820673453407,2014-03-01
2014,4,1219,SIH_internacoes,0.24671052631578946,2014-04-01
2014,5,1186,SIH_internacoes,-2.7071369975389663,2014-05-01
2014,6,1201,SIH_internacoes,1.2647554806070826,2014-06-01
2014,7,1429,SIH_internacoes,18.984179850124896,2014-07-01
2014,8,1361,SIH_internacoes,-4.758572428271519,2014-08-01
2014,9,1374,SIH_internacoes,0.9551800146950772,2014-09-01
2014,10,1442,SIH_internacoes,4.9490538573508,2014-10-01
2014,11,1356,SIH_internacoes,-5.9639389736477115,2014-11-01
2014,12,1307,SIH_internacoes,-3.6135693215339235,2014-12-01
2015,1,1348,SIH_internacoes,3.1369548584544757,2015-01-01
2015,2,1217,SIH_internacoes,-9.718100890207715,2015-02-01
2015,3,1280,SIH_internacoes,5.1766639276910436,2015-03-01
2015,4,1365,SIH_internacoes,6.640625,2015-04-01
2015,5,1306,SIH_internacoes,-4.322344322344322,2015-05-01
2015,6,1358,SIH_internacoes,3.9816232771822357,2015-06-01
2015,7,1488,SIH_internacoes,9.572901325478647,2015-07-01
2015,8,1468,SIH_internacoes,-1.3440860215053763,2015-08-01
2015,9,1398,SIH_internacoes,-4.768392370572207,2015-09-01
2015,10,1356,SIH_internacoes,-3.004291845493562,2015-10-01
2015,11,1409,SIH_internacoes,3.908554572271387,2015-11-01
2015,12,1260,SIH_internacoes,-10.574875798438608,2015-12-01
2016,1,1365,SIH_internacoes,8.333333333333332,2016-01-01
2016,2,1314,SIH_internacoes,-3.7362637362637363,2016-02-01
2016,3,1399,SIH_internacoes,6.468797564687975,2016-03-01
2016,4,1395,SIH_internacoes,-0.28591851322373124,2016-04-01
2016,5,1264,SIH_internacoes,-9.390681003584229,2016-05-01
2016,6,1377,SIH_internacoes,8.93987341772152,2016-06-01
2016,7,1332,SIH_internacoes,-3.2679738562091507,2016-07-01
2016,8,1419,SIH_internacoes,6.531531531531531,2016-08-01
2016,9,1512,SIH_internacoes,6.553911205073996,2016-09-01
2016,10,1375,SIH_internacoes,-9.060846560846562,2016-10-01
2016,11,1390,SIH_internacoes,1.090909090909091,2016-11-01
2016,12,1301,SIH_internacoes,-6.402877697841726,2016-12-01
2017,1,1330,SIH_internacoes,2.2290545734050733,2017-01-01
2017,2,1359,SIH_internacoes,2.180451127819549,2017-02-01
2017,3,1304,SIH_internacoes,-4.047093451066961,2017-03-01
2017,4,1337,SIH_internacoes,2.5306748466257667,2017-04-01
2017,5,1387,SIH_internacoes,3.7397157816005984,2017-05-01
2017,6,1506,SIH_internacoes,8.579668348954577,2017-06-01
2017,7,1630,SIH_internacoes,8.233731739707835,2017-07-01
2017,8,1637,SIH_internacoes,0.4294478527607362,2017-08-01
2017,9,1407,SIH_internacoes,-14.050091631032377,2017-09-01
2017,10,1581,SIH_internacoes,12.366737739872068,2017-10-01
2017,11,1530,SIH_internacoes,-3.225806451612903,2017-11-01
2017,12,1472,SIH_internacoes,-3.7908496732026142,2017-12-01
2018,1,1584,SIH_internacoes,7.608695652173914,2018-01-01
2018,2,1421,SIH_internacoes,-10.29040404040404,2018-02-01
2018,3,1426,SIH_internacoes,0.3518648838845883,2018-03-01
2018,4,1433,SIH_internacoes,0.4908835904628331,2018-04-01
2018,5,1591,SIH_internacoes,11.025819958129798,2018-05-01
