categoria,desfecho,residuo_padronizado,variavel
Feminino,FALSE,-8.851793590515813,sexo
Masculino,FALSE,8.851793590515813,sexo
Feminino,TRUE,8.851793590515813,sexo
Masculino,TRUE,-8.851793590515813,sexo
<1,FALSE,-2.8940462756808034,faixa_etaria
1-19,FALSE,8.189664893740717,faixa_etaria
20-39,FALSE,13.015729834673914,faixa_etaria
40-59,FALSE,27.644843287358324,faixa_etaria
60-79,FALSE,8.653104776321527,faixa_etaria
80+,FALSE,-52.295348517360246,faixa_etaria
<1,TRUE,2.8940462756808034,faixa_etaria
1-19,TRUE,-8.189664893740723,faixa_etaria
20-39,TRUE,-13.015729834673914,faixa_etaria
40-59,TRUE,-27.644843287358345,faixa_etaria
60-79,TRUE,-8.65310477632156,faixa_etaria
80+,TRUE,52.29534851736029,faixa_etaria
Amarela,FALSE,2.6011139815407907,raca_cor_rotulo
Branca,FALSE,28.897932769427594,raca_cor_rotulo
Ignorado/ausente,FALSE,-43.67885500820198,raca_cor_rotulo
Indígena,FALSE,-1.552905612923713,raca_cor_rotulo
Parda,FALSE,9.066017726315218,raca_cor_rotulo
Preta,FALSE,3.849746968230352,raca_cor_rotulo
Amarela,TRUE,-2.6011139815407907,raca_cor_rotulo
Branca,TRUE,-28.897932769427612,raca_cor_rotulo
Ignorado/ausente,TRUE,43.67885500820196,raca_cor_rotulo
Indígena,TRUE,1.5529056129237124,raca_cor_rotulo
Parda,TRUE,-9.066017726315147,raca_cor_rotulo
Preta,TRUE,-3.8497469682303764,raca_cor_rotulo
Eletivo,FALSE,61.887134769582296,carater_rotulo
Urgência,FALSE,-61.88713476958239,carater_rotulo
Eletivo,TRUE,-61.88713476958232,carater_rotulo
Urgência,TRUE,61.887134769582296,carater_rotulo
Baía da Ilha Grande,FALSE,3.944467970162917,regiao_saude
Baixada Litorânea,FALSE,-4.717837340383545,regiao_saude
Centro-Sul,FALSE,7.038687221595895,regiao_saude
Médio Paraíba,FALSE,25.03604739336961,regiao_saude
Metropolitana I,FALSE,-57.880407102500676,regiao_saude
Metropolitana II,FALSE,3.48400206152002,regiao_saude
Noroeste,FALSE,20.379070282967792,regiao_saude
Norte,FALSE,9.391137402092717,regiao_saude
Serrana,FALSE,43.135167782345135,regiao_saude
Baía da Ilha Grande,TRUE,-3.9444679701629086,regiao_saude
Baixada Litorânea,TRUE,4.717837340383545,regiao_saude
Centro-Sul,TRUE,-7.0386872215959,regiao_saude
Médio Paraíba,TRUE,-25.036047393369596,regiao_saude
Metropolitana I,TRUE,57.880407102500605,regiao_saude
Metropolitana II,TRUE,-3.484002061519997,regiao_saude
Noroeste,TRUE,-20.379070282967792,regiao_saude
Norte,TRUE,-9.391137402092697,regiao_saude
Serrana,TRUE,-43.13516778234511,regiao_saude
I60,FALSE,1.049347386951641,subgrupo_cid
I61,FALSE,-41.33087429438652,subgrupo_cid
I62,FALSE,-19.52230001944005,subgrupo_cid
I63,FALSE,-26.46607821639212,subgrupo_cid
I64,FALSE,-27.89834857159922,subgrupo_cid
I65,FALSE,25.362284249977023,subgrupo_cid
I66,FALSE,1.6786650021096996,subgrupo_cid
I67,FALSE,18.522863887978545,subgrupo_cid
I68,FALSE,2.483284890249321,subgrupo_cid
I69,FALSE,76.62226205874134,subgrupo_cid
I60,TRUE,-1.04934738695162,subgrupo_cid
I61,TRUE,41.33087429438651,subgrupo_cid
I62,TRUE,19.522300019440056,subgrupo_cid
I63,TRUE,26.466078216392102,subgrupo_cid
I64,TRUE,27.89834857159908,subgrupo_cid
I65,TRUE,-25.362284249977023,subgrupo_cid
I66,TRUE,-1.6786650021096978,subgrupo_cid
I67,TRUE,-18.522863887978563,subgrupo_cid
I68,TRUE,-2.483284890249321,subgrupo_cid
I69,TRUE,-76.62226205874137,subgrupo_cid
2010-2014,FALSE,-1.9656892902595822,periodo
2015-2019,FALSE,-0.28101123365152764,periodo
2020-2022,FALSE,-7.855968801261354,periodo
2023-2025,FALSE,9.826481123289367,periodo
2010-2014,TRUE,1.9656892902595435,periodo
2015-2019,TRUE,0.2810112336515647,periodo
2020-2022,TRUE,7.855968801261375,periodo
2023-2025,TRUE,-9.826481123289387,periodo
