ano,sexo,n
2010,Feminino,7397
2011,Feminino,7287
2012,Feminino,7546
2013,Feminino,7305
2014,Feminino,7572
2015,Feminino,7845
2016,Feminino,7963
2017,Feminino,8479
2018,Feminino,9085
2019,Feminino,9177
2020,Feminino,8725
2021,Feminino,9020
2022,Feminino,10583
2023,Feminino,11387
2024,Feminino,10561
2025,Feminino,11084
2010,Masculino,8483
2011,Masculino,8308
2012,Masculino,8248
2013,Masculino,8036
2014,Masculino,8073
2015,Masculino,8408
2016,Masculino,8480
2017,Masculino,9001
2018,Masculino,9859
2019,Masculino,9920
2020,Masculino,9130
2021,Masculino,9809
2022,Masculino,11449
2023,Masculino,11970
2024,Masculino,10985
2025,Masculino,11777
