ano,raca_cor,n
2010,01,4524
2011,01,4417
2012,01,4461
2013,01,4340
2014,01,4334
2015,01,4486
2016,01,4316
2017,01,4626
2018,01,4866
2019,01,4701
2020,01,4078
2021,01,3817
2022,01,4571
2023,01,5659
2024,01,5454
2025,01,5878
2010,02,1580
2011,02,1584
2012,02,1498
2013,02,1629
2014,02,1822
2015,02,1893
2016,02,1891
2017,02,2449
2018,02,3010
2019,02,3305
2020,02,3734
2021,02,2925
2022,02,3189
2023,02,4274
2024,02,3409
2025,02,3546
2010,03,3731
2011,03,4388
2012,03,4690
2013,03,5367
2014,03,5540
2015,03,6097
2016,03,5297
2017,03,4727
2018,03,5399
2019,03,5543
2020,03,4166
2021,03,5253
2022,03,7190
2023,03,11921
2024,03,12478
2025,03,13203
2010,04,20
2011,04,23
2012,04,26
2013,04,46
2014,04,55
2015,04,68
2016,04,132
2017,04,252
2018,04,426
2019,04,380
2020,04,331
2021,04,234
2022,04,122
2023,04,266
2024,04,201
2025,04,234
2010,05,7
2012,05,1
2014,05,2
2018,05,2
2024,05,2
2010,Ignorado/ausente,6018
2011,Ignorado/ausente,5183
2012,Ignorado/ausente,5118
2013,Ignorado/ausente,3959
2014,Ignorado/ausente,3892
2015,Ignorado/ausente,3709
2016,Ignorado/ausente,4807
2017,Ignorado/ausente,5426
2018,Ignorado/ausente,5241
2019,Ignorado/ausente,5168
2020,Ignorado/ausente,5546
2021,Ignorado/ausente,6600
2022,Ignorado/ausente,6960
2023,Ignorado/ausente,1237
2024,Ignorado/ausente,2
