ano,internacoes,obitos_hospitalares,mortalidade_hospitalar_pct,permanencia_media,permanencia_mediana,custo_total,custo_medio
2010,15880,3161,19.905541561712848,15.13551637279597,9,30180077.15,1900.508636649874
2011,15595,2965,19.012504007694776,14.94658544405258,9,27206369.99,1744.5572292401412
2012,15794,3024,19.146511333417752,15.259782195770546,9,27064650.759999998,1713.6033151829809
2013,15341,3052,19.894400625774068,15.151685027051691,9,27799939.99,1812.1334978163093
2014,15645,3108,19.86577181208054,14.808437200383509,9,28982646.52,1852.5181540428252
2015,16253,3301,20.310096597551222,14.090629422260506,8,30076695.169999998,1850.5319122623516
2016,16443,3410,20.738308094629936,13.624277808185854,8,30766841.689999998,1871.1209444748524
2017,17480,3299,18.87299771167048,12.693306636155606,7,34158279.55,1954.1349856979405
2018,18944,3555,18.76583614864865,11.393475506756756,6,34552055.64,1823.9049641047297
2019,19097,3512,18.390323087395927,10.915431743205739,6,36355891.66,1903.7488432738126
2020,17855,3505,19.630355642677124,10.409801176141137,6,34594349.8,1937.5160907308878
2021,18829,4178,22.189176270646342,9.70120558712624,5,35656245.25,1893.6876759254342
2022,22032,4337,19.68500363108206,9.653186274509803,5,49414483.33,2242.8505505628177
2023,23357,4203,17.994605471593097,9.224129811191506,5,54910136.83,2350.9070869546604
2024,21546,3842,17.831616077230112,9.033277638540797,5,56631084.26,2628.380407500232
2025,22861,4166,18.223174839245875,8.61152180569529,5,59385307.32,2597.6688386334804
