year,month,filename,status,checked_at_utc
2021,5,RDRJ2105.DBC,disponivel,2026-07-16T23:08:48Z
2022,5,RDRJ2205.DBC,disponivel,2026-07-16T23:08:48Z
2023,5,RDRJ2305.DBC,disponivel,2026-07-16T23:08:48Z
2024,5,RDRJ2405.DBC,disponivel,2026-07-16T23:08:48Z
2025,5,RDRJ2505.DBC,disponivel,2026-07-16T23:08:48Z
2010,6,RDRJ1006.DBC,disponivel,2026-07-16T23:08:48Z
2011,6,RDRJ1106.DBC,disponivel,2026-07-16T23:08:48Z
2012,6,RDRJ1206.DBC,disponivel,2026-07-16T23:08:48Z
2013,6,RDRJ1306.DBC,disponivel,2026-07-16T23:08:48Z
2014,6,RDRJ1406.DBC,disponivel,2026-07-16T23:08:48Z
2015,6,RDRJ1506.DBC,disponivel,2026-07-16T23:08:48Z
2016,6,RDRJ1606.DBC,disponivel,2026-07-16T23:08:48Z
2017,6,RDRJ1706.DBC,disponivel,2026-07-16T23:08:48Z
2018,6,RDRJ1806.DBC,disponivel,2026-07-16T23:08:48Z
2019,6,RDRJ1906.DBC,disponivel,2026-07-16T23:08:48Z
2020,6,RDRJ2006.DBC,disponivel,2026-07-16T23:08:48Z
2021,6,RDRJ2106.DBC,disponivel,2026-07-16T23:08:48Z
2022,6,RDRJ2206.DBC,disponivel,2026-07-16T23:08:48Z
2023,6,RDRJ2306.DBC,disponivel,2026-07-16T23:08:48Z
2024,6,RDRJ2406.DBC,disponivel,2026-07-16T23:08:48Z
2025,6,RDRJ2506.DBC,disponivel,2026-07-16T23:08:48Z
2010,7,RDRJ1007.DBC,disponivel,2026-07-16T23:08:48Z
2011,7,RDRJ1107.DBC,disponivel,2026-07-16T23:08:48Z
2012,7,RDRJ1207.DBC,disponivel,2026-07-16T23:08:48Z
2013,7,RDRJ1307.DBC,disponivel,2026-07-16T23:08:48Z
2014,7,RDRJ1407.DBC,disponivel,2026-07-16T23:08:48Z
2015,7,RDRJ1507.DBC,disponivel,2026-07-16T23:08:48Z
2016,7,RDRJ1607.DBC,disponivel,2026-07-16T23:08:48Z
2017,7,RDRJ1707.DBC,disponivel,2026-07-16T23:08:48Z
2018,7,RDRJ1807.DBC,disponivel,2026-07-16T23:08:48Z
2019,7,RDRJ1907.DBC,disponivel,2026-07-16T23:08:48Z
2020,7,RDRJ2007.DBC,disponivel,2026-07-16T23:08:48Z
2021,7,RDRJ2107.DBC,disponivel,2026-07-16T23:08:48Z
2022,7,RDRJ2207.DBC,disponivel,2026-07-16T23:08:48Z
2023,7,RDRJ2307.DBC,disponivel,2026-07-16T23:08:48Z
2024,7,RDRJ2407.DBC,disponivel,2026-07-16T23:08:48Z
2025,7,RDRJ2507.DBC,disponivel,2026-07-16T23:08:48Z
2010,8,RDRJ1008.DBC,disponivel,2026-07-16T23:08:48Z
2011,8,RDRJ1108.DBC,disponivel,2026-07-16T23:08:48Z
2012,8,RDRJ1208.DBC,disponivel,2026-07-16T23:08:48Z
2013,8,RDRJ1308.DBC,disponivel,2026-07-16T23:08:48Z
2014,8,RDRJ1408.DBC,disponivel,2026-07-16T23:08:48Z
2015,8,RDRJ1508.DBC,disponivel,2026-07-16T23:08:48Z
2016,8,RDRJ1608.DBC,disponivel,2026-07-16T23:08:48Z
2017,8,RDRJ1708.DBC,disponivel,2026-07-16T23:08:48Z
2018,8,RDRJ1808.DBC,disponivel,2026-07-16T23:08:48Z
2019,8,RDRJ1908.DBC,disponivel,2026-07-16T23:08:48Z
